ATC;sheet
C02*;DP_CONTRHYPERT
C03*;DP_CONTRHYPERT
C07*;DP_CONTRHYPERT
C08*;DP_CONTRHYPERT
C09*;DP_CONTRHYPERT
L04A*;DP_IMMUNOSUPPR
H02*;DP_IMMUNOSUPPR
L01A*;DP_COVCANCER
L01B*;DP_COVCANCER
L01C*;DP_COVCANCER
L01D*;DP_COVCANCER
L01X*;DP_COVCANCER
L02A*;DP_COVCANCER
L02B*;DP_COVCANCER
L03*;DP_COVCANCER
L04*;DP_COVCANCER
B03XA01;DP_COVCKD
R03*;DP_COVCOPD
R07AA*;DP_COVCOPD
R07AB*;DP_COVCOPD
A10B*;DP_COVDIAB
A10A*;DP_COVDIAB
J05AE*;DP_COVHIV
J05AR*;DP_COVHIV
J05AF*;DP_COVHIV
J05AG*;DP_COVHIV
A08AB*;DP_COVOBES
A08AA*;DP_COVOBES
L01XX05;DP_COVSICKLE
B06AX*;DP_COVSICKLE
C01B*;DP_CVD
C01C*;DP_CVD
C01D*;DP_CVD
C01E*;DP_CVD
B01A*;DP_CVD
